query	seed_ortholog	evalue	score	eggNOG_OGs	tax_ceiling	farthest_donor_lineage	COG_category	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	annotation_confidence
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1328488_20	195250.GCA_000332275_02717	5.37e-29	105.0	DUF433@131567|CC-9,DUF433@2|aJ-16	Prokaryota	1;131567;2;2323;1783234;1817803;1817863	COG2442	-	-	-	-	-	-	-	-	-	-	-	-	DUF433_7_62	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_422710_8	1121482.GCA_000382205_02783	1.27e-53	181.0	Methyltransf_23@131567|nU-19	Prokaryota	1;131567;2;1783272;1239;91061;1385;186817;1433999;29332	-	ubiE2	-	ec:7.5.2.14	K09691	02010	-	-	-	00001,01000,02000	-	-	-	Methyltransf_23_71_207	l-lll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_873008_16	1004156.AYP45_14750	1.26e-19	84.0	ParE_toxin@131567|AS-7!	Prokaryota	1;131567;2;3379134;1783257;203682;2517206;1127829;1127830;380240;1004156	COG3668	-	-	-	-	-	-	-	-	-	-	-	-	ParE_toxin_5_84	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_852756_8	105559.Nwat_1066	3.68e-150	491.0	SBBP@131567|C-2	Prokaryota	1;131567;2;1783272;201174;1497346;588673;320583;191494;191495;1283299	COG3291	flaEY	-	-	-	-	-	-	-	-	-	-	-	SBBP_285_317,SBBP_365_387,SBBP_422_457,SBBP_509_530,SBBP_715_750	l-----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1183303_11	1356306.FV185_09840	2.07e-15	74.3	DUF6516@131567|C-2!	Prokaryota	1;131567;2;3379134;1224;28211;356;69277;93368;93369;1192868	COG5652	-	-	-	-	-	-	-	-	-	-	-	-	DUF6516_28_100	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_422710_20	876364.BKK79_23320	5.36e-27	103.0	HTH_3@131567|oi-24	Prokaryota	1;131567;2;1783272;1239;91061;186826;33958;559173;1631	-	ybaQ	GO:0006355	ec:3.4.21.88	K21498	-	-	-	-	00001,02048	-	-	-	HTH_3_23_65	lllh----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_422710_6	876364.BKK79_32560	1.86e-22	90.5	PhdYeFM_antitox@131567|LN-11	Prokaryota	1;131567;2;3379134;1783257;74201;417295;1752234	COG4118	-	-	-	-	-	-	-	-	-	-	-	-	PhdYeFM_antitox_5_60	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2104672_21	1797736.A3G16_04710	3.67e-06	50.1	HTH_37@131567|B-2	Prokaryota	1;131567;2;3384194;1297;188787;68933;188786;2747271;52023;926560	COG1396	-	-	-	-	-	-	-	-	-	-	-	-	HTH_37_26_94	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_16	1612308.SAMN05444581_103205	4.07e-45	151.0	PIN@131567|Bv-8	Prokaryota	1;131567;2;2323;1783234;95818;1895827;1802138	COG1848	vapC	-	-	K07064	-	-	-	-	00001	-	-	-	PIN_10_121	h--l----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_2	1122928.GCA_000422925_03720	6.39e-213	592.0	GGGtGRT@131567|A-1	Prokaryota	1;131567;2;1783272;1239;186801;186802;31979;1485;1520	S	-	-	-	-	-	-	-	-	-	-	-	-	GGGtGRT_4_329	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_1	1122928.GCA_000422925_03721	3.83e-154	435.0	-	Prokaryota	1;131567;2;1783272;1239;186801;186802;2937911;278993;863643;635013	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
