gene_id	ko	assignment	score_type	threshold	bit_score	e_value	domain_bit_score	domain_e_value	definition
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_10158_2	K01783	threshold	full	248.0	316.8	4.1e-95	316.7	4.5e-95	ribulose-phosphate 3-epimerase [EC:5.1.3.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_10158_4	K09667	threshold	domain	252.73	348.2	2e-104	347.3	3.6e-104	protein O-GlcNAc transferase [EC:2.4.1.255]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1031193_11	K14652	threshold	full	353.97	512.6	2e-154	512.2	2.6e-154	3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1031193_2	K07646	threshold	domain	235.27	333.5	4.7e-100	333.2	5.7e-100	two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1031193_3	K07667	threshold	full	280.23	310.7	2.9e-93	310.5	3.1e-93	two-component system, OmpR family, KDP operon response regulator KdpE
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1031193_6	K01546	threshold	full	128.27	896.5	2e-270	896.4	2.2e-270	potassium-transporting ATPase potassium-binding subunit
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1031193_7	K01547	threshold	domain	374.4	1192.4	0.0	1192.2	0.0	potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1031193_8	K01548	threshold	full	40.23	282.7	4e-85	282.5	4.4e-85	potassium-transporting ATPase KdpC subunit
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1031193_9	K01745	threshold	full	412.23	750.4	2.2e-226	750.1	2.6e-226	histidine ammonia-lyase [EC:4.3.1.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1059140_10	K02040	threshold	domain	54.07	198.7	3.7e-59	198.4	4.5e-59	phosphate transport system substrate-binding protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1059140_7	K01628	threshold	full	210.73	253.0	8.8e-76	251.6	2.5e-75	L-fuculose-phosphate aldolase [EC:4.1.2.17]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_106535_2	K15727	threshold	full	264.63	265.7	1.8e-79	265.5	2e-79	membrane fusion protein, heavy metal efflux system
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_106535_3	K15726	threshold	full	1179.13	1317.7	0.0	1317.5	0.0	heavy metal efflux system protein
